#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   1                    0      5.1088938272384                    0                    0                  270
                   1                    0     5.09725822471608                    0                    0                  270
                   1                    0     5.08494065441465                    0                    0                  270
                   1                    0     5.07198537716908                    0                    0                  270
                   1                    0     5.05843665381431                    0                    0                  270
                   1                    0     5.04433874518529                    0                    0                  270
                   1                    0     5.02973591211698                    0                    0                  270
                   1                    0     5.01467241544433                    0                    0                  270
                   1                    0     4.99919251600228                    0                    0                  270
                   1                    0      4.9833404746258                    0                    0                  270
                   1                    0     4.96716055214984                    0                    0                  270
                   1                    0     4.95069700940934                    0                    0                  270
                   1                    0     4.93399410723925                    0                    0                  270
                   1                    0     4.91709610647454                    0                    0                  270
                   1                    0     4.90004726795015                    0                    0                  270
                   1                    0     4.88289185250103                    0                    0                  270
                   1                    0     4.86567412096213                    0                    0                  270
                   1                    0     4.84843833416841                    0                    0                  270
                   1                    0     4.83122875295483                    0                    0                  270
                   1                    0     4.81408963815632                    0                    0                  270
                   1                    0     4.79706525060784                    0                    0                  270
                   1                    0     4.78019985114436                    0                    0                  270
                   1                    0      4.7635377006008                    0                    0                  270
                   1                    0     4.74712305981214                    0                    0                  270
                   1                    0     4.73100018961331                    0                    0                  270
                   1                    0     4.71521335083928                    0                    0                  270
                   1                    0     4.69980680432499                    0                    0                  270
                   1                    0      4.6848248109054                    0                    0                  270
                   1                    0     4.67031163141546                    0                    0                  270
                   1                    0     4.65631152669012                    0                    0                  270
                   1                    0     4.64286875756433                    0                    0                  270
                   1                    0     4.63002758487304                    0                    0                  270
                   1                    0     4.61783226945121                    0                    0                  270
                   1                    0     4.60632707213378                    0                    0                  270
                   1                    0     4.59555625375572                    0                    0                  270
                   1                    0     4.58556407515196                    0                    0                  270
                   1                    0     4.57639479715747                    0                    0                  270
                   1                    0      4.5680926806072                    0                    0                  270
                   1                    0     4.56070198633609                    0                    0                  270
                   1                    0      4.5542669751791                    0                    0                  270
                   1                    0     4.54883190797118                    0                    0                  270
                   1                    0     4.54444104554728                    0                    0                  270
                   1                    0     4.54113864874236                    0                    0                  270
                   1                    0     4.53896897839137                    0                    0                  270
                   1                    0     4.53797629532925                    0                    0                  270
                   1                    0     4.53824253695173                    0                    0                  270
                   1                    0     4.54088747876447                    0                    0                  270
                   1                    0     4.54631842721667                    0                    0                  270
                   1                    0     4.55440384990326                    0                    0                  270
                   1                    0     4.56501221441913                    0                    0                  270
                   1                    0      4.5780119883592                    0                    0                  270
                   1                    0      4.5932716393184                    0                    0                  270
                   1                    0     4.61065963489162                    0                    0                  270
                   1                    0     4.63004444267379                    0                    0                  270
                   1                    0     4.65129453025983                    0                    0                  270
                   1                    0     4.67427836524463                    0                    0                  270
                   1                    0     4.69886441522312                    0                    0                  270
